Collection Name,Collection Summary,Family Name,Family Summary,Family URL,Family Publication Date,Geographies,Document Title,Document URL,Document Content URL,Document Type,Document Content Matches Search Phrase,Category,Languages,Source,Topic,Hazard,Sector,Keyword,Framework,Instrument,Topic,Hazard,Sector,Keyword,Framework,Instrument,Author,Author_Type
,,Law 27.424 instituting the regime to promote the distributed generation of renewable energy integrated into the public electricity network,"The purpose of this law is to establish the policies and establish the legal and contractual conditions for the generation of electrical energy of renewable origin by users of the distribution network, for their self-consumption, with eventual injection of surpluses into the network, and to establish the obligation of public distribution service providers to facilitate said injection, ensuring free access to the distribution network, without prejudice to the powers of the provinces.",https://app.climatepolicyradar.org/documents/law-27-424-instituting-the-regime-to-promote-the-distributed-generation-of-renewable-energy-integrated-into-the-public-electricity-network_67b9,2017-11-30T00:00:00+00:00,ARG,Law 27.424 instituting the regime to promote the distributed generation of renewable energy integrated into the public electricity network,https://app.climatepolicyradar.org/documents/law-27-424-instituting-the-regime-to-promote-the-distributed-generation-of-renewable-energy-integrated-into-the-public-electricity-network_6aa8,https://cdn.climatepolicyradar.org/navigator/ARG/2017/law-27-424-instituting-the-regime-to-promote-the-distributed-generation-of-renewable-energy-integrated-into-the-public-electricity-network_357264e835c8b264a8a8e52310cee8a3.pdf,Law,n/a,Legislative,Spanish,CCLW,Mitigation,,Energía,,,,Mitigation,,Energía,,,,,
,,Law no 22520 on the responsibilities of ministries,"Art 23 of this law sets the responsibilities of the ministry for the environment and sustainable development. This includes a number of climate-related functions (13.12, 13.15, 13.16).",https://app.climatepolicyradar.org/documents/law-no-22520-on-the-responsibilities-of-ministries_89d1,2020-09-28T00:00:00+00:00,ARG,Law no 22520 on the responsibilities of ministries,https://app.climatepolicyradar.org/documents/law-no-22520-on-the-responsibilities-of-ministries_7443,https://cdn.climatepolicyradar.org/navigator/ARG/2020/law-no-22520-on-the-responsibilities-of-ministries_272b7823eb5fbc8acf2fda8bc04a460d.pdf,Law,n/a,Legislative,Spanish,CCLW,Adaptation;Mitigation,,Public Sector,,,,Adaptation;Mitigation,,Public Sector,,,,,
,,"Resolution 443/2022 creating the ""Open Doors Environmental Education"" Program","This resolution creates the ""Educación Ambiental de Puertas Abiertas"" programme. It was passed under law 27.621 for the Implementation of Comprehensive Environmental Education. It notably contains a clause stipulating that climate change should be a part of the teaching programmes.",https://app.climatepolicyradar.org/documents/resolution-443-2022-creating-the-open-doors-environmental-education-program_fb9a,2022-10-18T00:00:00+00:00,ARG,"Resolution 443/2022 creating the ""Open Doors Environmental Education"" Program",https://app.climatepolicyradar.org/documents/resolution-443-2022-creating-the-open-doors-environmental-education-program_d6d3,https://cdn.climatepolicyradar.org/navigator/ARG/2022/resolution-443-2022-creating-the-open-doors-environmental-education-program_f757d14e925596df2fd5b05d738eec90.pdf,Resolution,n/a,Executive,Spanish,CCLW,Adaptation;Mitigation,,,,,,Adaptation;Mitigation,,,,,,,
,,Yolanda's law (no 27592),"The purpose of this Law is to guarantee comprehensive training in the environment, with a sustainable development perspective and with special emphasis on climate change for people who work in public office. For this purpose, it establishes mandatory training on environmental issues, in accordance with the general guidelines that the enforcement authority will establish. The main objective of the ""Yolanda Law"" is that public officials and employees understand the transversality of environmental issues in the design, planning and implementation of public policies to contribute, from state management, to the construction of an environmentally sustainable Argentina.<br><br>The law's applicability was set in <a href=""https://faolex.fao.org/docs/pdf/arg206533.pdf"">disposition 12/2021</a>.&nbsp;",https://app.climatepolicyradar.org/documents/yolanda-law-no-27592_708b,2020-11-27T00:00:00+00:00,ARG,Yolanda law (no 27592),https://app.climatepolicyradar.org/documents/yolanda-law-no-27592_a09f,https://cdn.climatepolicyradar.org/navigator/ARG/2020/yolanda-s-law-no-27592_b86faaa85013a45d8f5406de0095d595.pdf,Law,n/a,Legislative,Spanish,CCLW,Adaptation;Mitigation,,Public Sector,,,,Adaptation;Mitigation,,Public Sector,,,,,
,,Law no 27.640 setting the regulatory framework for biofuels,This law sets the regulatory framework for liquid biofuels in the country.,https://app.climatepolicyradar.org/documents/law-no-27-640-setting-the-regulatory-framework-for-biofuels_4738,2021-07-15T00:00:00+00:00,ARG,Law no 27.640 setting the regulatory framework for biofuels,https://app.climatepolicyradar.org/documents/law-no-27-640-setting-the-regulatory-framework-for-biofuels_1586,https://cdn.climatepolicyradar.org/navigator/ARG/2021/law-no-27-640-setting-the-regulatory-framework-for-biofuels_f7e2064c42f4d7c68c399846ef99c49d.pdf,Law,n/a,Legislative,Spanish,CCLW,Mitigation,,Energía,,,,Mitigation,,Energía,,,,,
,,Resolution 383/2021on GHG performance labelling for light-duty vehicles,"Since May 2022, new vehicles on sale have to display information about their fuel consumption and emissions level.",https://app.climatepolicyradar.org/documents/resolution-383-2021on-ghg-performance-labelling-for-light-duty-vehicles_b1a8,2021-11-15T00:00:00+00:00,ARG,Resolution 383/2021on GHG performance labelling for light-duty vehicles,https://app.climatepolicyradar.org/documents/resolution-383-2021on-ghg-performance-labelling-for-light-duty-vehicles_f01c,https://www.boletinoficial.gob.ar/detalleAviso/primera/253008/20211117,Resolution,n/a,Executive,Spanish,CCLW,Mitigation,,Transport,,,,Mitigation,,Transport,,,,,
,,National program for residential labelling,"<p>The objective of the Program is to introduce the Energía Efficiency Label as an instrument to provide information to users about the energy performance of a residential building and constitute an additional decision tool when carrying out a real estate operation, evaluating a new project or carrying out interventions in existing buildings.<br><br>The program takes into account the presence of renewable energy sources.</p>
",https://app.climatepolicyradar.org/documents/national-program-for-residential-labelling_1983,2019-12-19T00:00:00+00:00,ARG,National program for residential labelling,https://app.climatepolicyradar.org/documents/national-program-for-residential-labelling_b7bf,https://www.boletinoficial.gob.ar/detalleAviso/primera/224026/20191220,Decree,n/a,Executive,Spanish,CCLW,Mitigation,,Residential and Commercial,,,,Mitigation,,Residential and Commercial,,,,,
,,National program for residential labelling,"<p>The objective of the Program is to introduce the Energía Efficiency Label as an instrument to provide information to users about the energy performance of a residential building and constitute an additional decision tool when carrying out a real estate operation, evaluating a new project or carrying out interventions in existing buildings.<br><br>The program takes into account the presence of renewable energy sources.</p>
",https://app.climatepolicyradar.org/documents/national-program-for-residential-labelling_1983,2019-12-19T00:00:00+00:00,ARG,National program for residential labelling,https://app.climatepolicyradar.org/documents/national-program-for-residential-labelling_f43c,https://www.argentina.gob.ar/economia/energia/eficiencia-energetica/eficiencia-energetica-en-edificaciones/etiquetado-de-viviendas,Programme,n/a,Executive,Spanish,CCLW,Mitigation,,Residential and Commercial,,,,Mitigation,,Residential and Commercial,,,,,
,,Efficient Lighting Plan (PLAE),"<p>The Efficient Lighting Plan (PLAE) is a national plan for the efficient consumption of energy on public roads, through the replacement of existing luminaires with LED technology.<br><br>According to the government, replacing less efficient public lighting equipment with this technology represents up to 50% energy savings over current consumption and allows light levels to be adjusted as established by road safety regulations.</p>
",https://app.climatepolicyradar.org/documents/efficient-lighting-plan-plae_0ef9,2017-04-12T00:00:00+00:00,ARG,Efficient Lighting Plan (PLAE),https://app.climatepolicyradar.org/documents/efficient-lighting-plan-plae_33bb,https://www.argentina.gob.ar/economia/energia/eficiencia-energetica/eficiencia-energetica-en-sector-publico/plan-de-alumbrado-eficiente-plae,Plan,n/a,Executive,Spanish,CCLW,Mitigation,,Urban,,,,Mitigation,,Urban,,,,,
,,Intelligent Transport program (PTI),"<p>The Intelligent Transport program seeks to promote good practices and the implementation of technologies for efficient transportation in order to:<br>● Improve energy efficiency<br>● Increase competitiveness by reducing logistics costs.<br>● Reduce GHG (greenhouse gas) and local effect emissions<br>● Create a community of good practices and encourage their use in freight transport.</p>
",https://app.climatepolicyradar.org/documents/intelligent-transport-program-pti_9dfe,2018-10-01T00:00:00+00:00,ARG,Intelligent Transport program (PTI),https://app.climatepolicyradar.org/documents/intelligent-transport-program-pti_2ae3,https://cdn.climatepolicyradar.org/navigator/ARG/2019/intelligent-transport-program-pti_58c5fe897a13c23e1bd2f736b8bd1b20.pdf,Programme,n/a,Executive,Spanish,CCLW,Mitigation,,Transport,,,,Mitigation,,Transport,,,,,
,,Law 26.190 Regime for the National Promotion for the Production and Use of Renewable Sources of Electric Energía,"The Law, as updated in October 2015, builds on the concept of production of electricity from renewable energy sources as a matter of national interest. It requires that by 31 December 2017, 8% of all electricity consumed nationally must be generated from renewable energy sources. The law directs the executive power to co-ordinate a Federal Programme for the Development of Renewable Energía and creates a fund to finance renewable energy projects, including through feed-in tariff. Private firms who are recognised as beneficiaries of the Programme and/or the Fund will enjoy a series of tax benefits, expanded in 2015 (decrease of VAT through exemption on import duties, accelerated amortization of Income Tax, fiscal certificates, etc.). The 2015 update also enlarges the list of 'renewable sources' to include wave energy, ocean currents energy and biofuels, and it expands the support of the Programme and Fund to hydropower plants with capacity up to 50 MW (up from original 30 MW).<br><br>This law was amended several times, notably by law 27191 and by a number of resolutions including <a href=""https://www.argentina.gob.ar/normativa/nacional/resolución-285-2018-311549/actualizacion"">resolution 285/2018</a> and <a href=""https://www.argentina.gob.ar/normativa/nacional/resolución-742-2021-352574"">resolution 742/2021</a>.<br><br>The market regime for the production of renewable energy is regulated by <a href=""https://www.argentina.gob.ar/normativa/nacional/resolución-281-2017-278429"">resolution 281/2017 </a>and amending <a href=""https://www.boletinoficial.gob.ar/detalleAviso/primera/245706/20210616"">resolution 551/2021</a>.&nbsp;",https://app.climatepolicyradar.org/documents/law-26-190-regime-for-the-national-promotion-for-the-production-and-use-of-renewable-sources-of-electric-energy_419f,2007-01-02T00:00:00+00:00,ARG,Law 26.190 National Development Regime for the Use of Renewable Energía Sources for the Production of Electricity,https://app.climatepolicyradar.org/documents/law-26-190-national-development-regime-for-the-use-of-renewable-energy-sources-for-the-production-of-electricity_fca1,https://cdn.climatepolicyradar.org/navigator/ARG/2007/law-26-190-regime-for-the-national-promotion-for-the-production-and-use-of-renewable-sources-of-electric-energy_59225ba5bb6a3063c6e4c4ef1a8379f8.pdf,Law,n/a,Legislative,Spanish,CCLW,Mitigation,,Energía,Research And Development;Energía Supply,,"Standards, obligations and norms|Regulation;Tax incentives|Economic;Processes, plans and strategies|Governance",Mitigation,,Energía,Research And Development;Energía Supply,,"Standards, obligations and norms|Regulation;Tax incentives|Economic;Processes, plans and strategies|Governance",,
,,Law 26.190 Regime for the National Promotion for the Production and Use of Renewable Sources of Electric Energía,"The Law, as updated in October 2015, builds on the concept of production of electricity from renewable energy sources as a matter of national interest. It requires that by 31 December 2017, 8% of all electricity consumed nationally must be generated from renewable energy sources. The law directs the executive power to co-ordinate a Federal Programme for the Development of Renewable Energía and creates a fund to finance renewable energy projects, including through feed-in tariff. Private firms who are recognised as beneficiaries of the Programme and/or the Fund will enjoy a series of tax benefits, expanded in 2015 (decrease of VAT through exemption on import duties, accelerated amortization of Income Tax, fiscal certificates, etc.). The 2015 update also enlarges the list of 'renewable sources' to include wave energy, ocean currents energy and biofuels, and it expands the support of the Programme and Fund to hydropower plants with capacity up to 50 MW (up from original 30 MW).<br><br>This law was amended several times, notably by law 27191 and by a number of resolutions including <a href=""https://www.argentina.gob.ar/normativa/nacional/resolución-285-2018-311549/actualizacion"">resolution 285/2018</a> and <a href=""https://www.argentina.gob.ar/normativa/nacional/resolución-742-2021-352574"">resolution 742/2021</a>.<br><br>The market regime for the production of renewable energy is regulated by <a href=""https://www.argentina.gob.ar/normativa/nacional/resolución-281-2017-278429"">resolution 281/2017 </a>and amending <a href=""https://www.boletinoficial.gob.ar/detalleAviso/primera/245706/20210616"">resolution 551/2021</a>.&nbsp;",https://app.climatepolicyradar.org/documents/law-26-190-regime-for-the-national-promotion-for-the-production-and-use-of-renewable-sources-of-electric-energy_419f,2007-01-02T00:00:00+00:00,ARG,Law 26.190 National Development Regime for the Use of Renewable Energía Sources for the Production of Electricity,https://app.climatepolicyradar.org/documents/law-26-190-national-development-regime-for-the-use-of-renewable-energy-sources-for-the-production-of-electricity_b8ab,https://cdn.climatepolicyradar.org/navigator/ARG/2006/law-26-190-national-development-regime-for-the-use-of-renewable-energy-sources-for-the-production-of-electricity_ce7e4975bbb410fc747c646392505d2c.pdf,Law,n/a,Legislative,Spanish,CCLW,Mitigation,,Energía,Research And Development;Energía Supply,,"Standards, obligations and norms|Regulation;Tax incentives|Economic;Processes, plans and strategies|Governance",Mitigation,,Energía,Research And Development;Energía Supply,,"Standards, obligations and norms|Regulation;Tax incentives|Economic;Processes, plans and strategies|Governance",,
